PRESUPUESTO CHATBOT WHATSAPP - COCOLUVENTAS
,,,,,,
Cliente:,CocoLuVentas,,,Fecha:,11/11/2025
Proyecto:,Sistema de Chatbot WhatsApp con Rotación Automática de Vendedores,,,Desarrollador:,Ember Drago
,,,,,,
TARIFA/HORA:,50,USD,← AJUSTAR AQUÍ PARA RECALCULAR TODO,,
,,,,,,
#,Fase/Tarea,Descripción Detallada,Horas,Días (8h),Tarifa,Total USD
,,,,,,
,══════════════════════════════════════════════════════════════,,,,
,FASE 1: ANÁLISIS Y DISEÑO,,,,
,══════════════════════════════════════════════════════════════,,,,
1.1,Análisis de Requerimientos,,,,,
1.1.1,Reunión inicial con cliente,Definición objetivos y alcance,2,=D14/8,=$B$6,=D14*F14
1.1.2,Levantamiento necesidades,Flujos conversacionales,2,=D15/8,=$B$6,=D15*F15
1.1.3,Documentación requerimientos,Especificaciones funcionales,2,=D16/8,=$B$6,=D16*F16
,,,,,,
1.2,Diseño de Arquitectura,,,,,
1.2.1,Stack tecnológico,Node.js + BuilderBot + Baileys,2,=D19/8,=$B$6,=D19*F19
1.2.2,Diseño de componentes,Módulos y estructura,2,=D20/8,=$B$6,=D20*F20
1.2.3,Diagrama arquitectura,Documentación visual,2,=D21/8,=$B$6,=D21*F21
,,,,,,
1.3,Diseño Base de Datos,,,,,
1.3.1,Modelado vendedores,5 vendedores con datos,2,=D24/8,=$B$6,=D24*F24
1.3.2,Modelado historial,Registro asignaciones,2,=D25/8,=$B$6,=D25*F25
,,,,,,
1.4,Diseño de Flujos,,,,,
1.4.1,Mapeo comandos,hola-lista-stats,2,=D28/8,=$B$6,=D28*F28
1.4.2,Templates respuestas,Mensajes automáticos,2,=D29/8,=$B$6,=D29*F29
1.4.3,Diagrama de flujos,Flowchart completo,2,=D30/8,=$B$6,=D30*F30
,,,,,,
,SUBTOTAL FASE 1:,,=D14+D15+D16+D19+D20+D21+D24+D25+D28+D29+D30,=D32/8,,=G14+G15+G16+G19+G20+G21+G24+G25+G28+G29+G30
,,,,,,
,══════════════════════════════════════════════════════════════,,,,
,FASE 2: CONFIGURACIÓN DEL ENTORNO,,,,
,══════════════════════════════════════════════════════════════,,,,
2.1,Setup Node.js,,,,,
2.1.1,Instalación Node.js v20+,Configuración entorno,3,=D38/8,=$B$6,=D38*F38
2.1.2,Instalación BuilderBot,@builderbot/bot,2,=D39/8,=$B$6,=D39*F39
2.1.3,Instalación Baileys,@builderbot/provider-baileys,2,=D40/8,=$B$6,=D40*F40
,,,,,,
2.2,Repositorio Git,,,,,
2.2.1,Inicialización Git,Repo local y remoto,1,=D43/8,=$B$6,=D43*F43
2.2.2,Estructura carpetas,src-docs-scripts,1,=D44/8,=$B$6,=D44*F44
,,,,,,
2.3,WhatsApp Web,,,,,
2.3.1,Configuración Baileys,Provider WhatsApp,2,=D47/8,=$B$6,=D47*F47
2.3.2,Sistema autenticación,QR code y sesiones,2,=D48/8,=$B$6,=D48*F48
2.3.3,Reconexión automática,Recovery sesiones,2,=D49/8,=$B$6,=D49*F49
,,,,,,
,SUBTOTAL FASE 2:,,=D38+D39+D40+D43+D44+D47+D48+D49,=D51/8,,=G38+G39+G40+G43+G44+G47+G48+G49
,,,,,,
,══════════════════════════════════════════════════════════════,,,,
,FASE 3: DESARROLLO DEL CORE,,,,
,══════════════════════════════════════════════════════════════,,,,
3.1,Sistema Vendedores,,,,,
3.1.1,Estructura de datos,Array de 5 vendedores,2,=D57/8,=$B$6,=D57*F57
3.1.2,Información vendedores,Nombre-especialidad-contacto,2,=D58/8,=$B$6,=D58*F58
,,,,,,
3.2,Rotación Round-Robin,,,,,
3.2.1,Algoritmo asignación,Rotación secuencial,3,=D61/8,=$B$6,=D61*F61
